sentence,abstract_concrete,abstract_ignorance,abstract_abstract,policy_not policy,policy_policy,dynamics_dynamics,dynamics_not dynamics,valence_winning,valence_neutral,valence_losing
The goal is to get the yellow block.,-0.0015733063,-6.8794665,-7.7000155,-0.00018601745,-8.68283,-0.00020544765,-8.528539,-0.0033706774,-5.6962056,-inf
You can use the green blocks to protect yourself by pushing them.,-7.2045503,-inf,-0.0014918884,-3.4125671,-0.033537,-0.00030483783,-8.110151,-0.32076094,-1.2933352,-inf
Let the red squares reach the green square in as few moves as possible.,-3.147354,-inf,-0.044418126,-6.6031947,-0.0013632126,-1.3753805,-0.29137516,-0.0019707426,-6.2385125,-11.986183
You can go through the red squares freely without losing the game or getting blocked.,-0.00019626896,-9.376713,-9.208178,-0.005785751,-5.1599913,-0.6161668,-0.77661103,-3.9472575,-0.020085732,-7.836797
Be careful to stay away from the green squares unless you really have to - they will cost you a life!,-1.8162231,-inf,-0.1775837,-8.613726,-0.000203898,-0.0001756504,-8.666203,-inf,-9.9433155,-5.5623317e-05
Watch out for the red blocks.,-0.0034701133,-7.2441964,-5.9138894,-3.5563831,-0.028974446,-3.1220477,-0.045095667,-inf,-8.3874584e-05,-10.797249
This game seems to be missing the purple squares.,-inf,-0.020359334,-3.9116328,-4.0961266e-05,-inf,-7.930452,-0.0003827677,-inf,-5.8603408e-05,-10.81413
avoid green squares unless you really have to - they will cost you a life!,-8.8862095,-inf,-0.00039325762,-7.825595,-0.00041672974,-0.0021996212,-6.122208,-inf,-9.182342,-0.00011725161
Remember to use your arrow keys.,-0.00014489953,-9.824404,-9.399364,-0.4599031,-0.9979814,-9.035308,-0.00013488642,-inf,-2.8802491e-05,-inf
Avoid red blocks at all cost,-0.000115701965,-10.371461,-9.6265745,-8.407946,-0.00023083435,-0.25282243,-1.49892,-9.272103,-0.96269524,-0.48132244
make sure to figure out your route before you start.,-8.804329,-7.5965123,-0.0007098094,-inf,-1.6166903e-05,-8.436971,-0.00023333763,-4.6441565,-0.009709235,-inf
"If there are no pink OR orange squares, move against the blocks to turn them into yellow squares.",-2.1575227,-6.026379,-0.12654552,-4.4275203,-0.012029327,-0.083232604,-2.5275686,-0.7837128,-0.6109547,-8.266396
avoid pink & Brown blocks.,-0.0018329688,-6.418934,-inf,-10.818303,-3.917321e-05,-4.4946847,-0.0112518845,-inf,-0.0007771118,-10.355676
avoid pink & orange blocks.,-0.0007585271,-inf,-inf,-7.6034484,-0.00050692295,-3.145885,-0.044007663,-9.116586,-0.00088443,-7.2818294
Avoid light blue blocks.,-1.7478143e-05,-11.945618,-12.022362,-7.9715867,-0.00035131257,-0.0029796024,-5.8187604,-inf,-1.175485,-0.36922207
Avoid pink & orange blocks.,-0.0008434569,-inf,-inf,-7.6965184,-0.00046415447,-0.06456634,-2.772311,-9.805916,-0.0027046618,-5.967684
Not sure what green block is there for.,-inf,-0.00011319869,-9.769946,-7.58424e-06,-inf,-inf,-2.7848862e-05,-inf,-1.378283e-05,-inf
You are the white block this time.,-0.0013828555,-6.7982273,-inf,-9.126521e-05,-inf,-0.00049548666,-7.622085,-inf,-0.00019936825,-inf
Use Space bar to shoot the falling orange blocks.,-0.001959321,-inf,-inf,-0.7910262,-0.6040984,-0.0025724485,-5.965883,-0.9956288,-0.4615063,-9.798782
Push Green blocks into the Orange ones to get rid of them if they’re in your way.,-0.0015925843,-inf,-6.4478035,-9.243781,-0.00021045419,-0.0005412389,-7.526094,-0.75801975,-0.6324056,-inf
A good strategy is going to the side and spamming the spacebar,-8.980665,-7.1269317,-0.00097624067,-0.31157044,-1.3186028,-6.860392,-0.0010704427,-2.9247441,-0.06081049,-inf
Light blue tiles can harm you.,-9.829823e-05,-10.901147,-9.537168,-0.04872964,-3.0461662,-9.805982e-05,-9.479951,-inf,-9.641737,-7.076218e-05
Carry the red block to the green goal.,-1.9743013e-05,-inf,-11.444911,-6.155248,-0.0021528807,-inf,-0.0046133534,-0.027584875,-3.6049697,-inf
Every movement counts.,-inf,-7.618287,-0.0007544778,-0.12030839,-2.177382,-9.870002,-6.1821906e-05,-9.492715,-0.000101874335,-inf
Letting the yellow cube change all the green to blue results in a game over.,-0.0030093156,-inf,-inf,-0.011157585,-4.5030704,-0.0010979532,-6.819156,-inf,-8.950395,-0.00017612721
Press the spacebar to fire bullets.,-0.00043639098,-inf,-inf,-0.49252838,-0.9445452,-1.5077649,-0.25029767,-1.614571,-0.2219566,-inf
The goal is to get to the yellow cube.,-0.0036119476,-7.373384,-5.832496,-0.0008344047,-7.549163,-0.0008004574,-7.17979,-0.0022634943,-6.0938754,-inf
You are the dark blue block.,-0.0034181974,-5.860428,-inf,-3.3451433e-05,-11.296489,-0.0004194714,-7.789156,-inf,-1.7120534e-05,-inf
"Lost on my first try so that's all I have, not sure what the goal of the game is, but do NOT do the things listed above.",-inf,-0.00025323365,-inf,-0.00014609157,-8.88618,-9.073577,-0.00012272765,-inf,-6.865822,-0.0010946154
You play as the blue cube.,-0.0012296347,-7.1038337,-inf,-4.0961266e-05,-inf,-0.00020640128,-8.93129,-inf,-1.247159e-05,-inf
You play as the dark blue tile.,-0.0016780334,-inf,-inf,-0.00011272187,-inf,-0.00027254096,-8.642912,-inf,-1.473646e-05,-inf
The yellow cube changes all the green cubes to purple.,-0.009370578,-6.554821,-4.84441,-0.0005288454,-7.570849,-0.00020854695,-8.494,-inf,-0.0017207577,-inf
"If a red tile hits a light blue tile, your score will go down by 2 points.",-7.159661e-05,-13.441859,-9.615531,-0.95028245,-0.4888395,-3.2855416e-05,-10.365402,-inf,-8.593831,-0.00025883623
"If all the cubes have been hit, you lose a life.",-0.00044377794,-inf,-inf,-0.34116986,-1.2412381,-0.000836312,-7.091817,-inf,-12.778703,-6.9882217e-06
"If you touch any cube that isn't green or yellow directly, you will die.",-0.0003902775,-9.959821,-8.136046,-1.1731398,-0.37022233,-0.00010247036,-9.20284,-inf,-12.899076,-3.650519e-06
One white cube cancels out one green cube.,-0.02556489,-8.950391,-3.6851165,-1.2308068,-0.34544042,-0.0013507109,-6.6099,-6.402626,-0.001711117,-inf
The other cubes will be moving quickly and randomly and will harm you.,-3.5158527,-inf,-0.030329462,-0.0003311745,-8.391828,-0.00035048186,-7.965074,-inf,-5.121581,-0.005999656
Be sure to quickly get out of the spawn area.,-1.1619561,-6.3861957,-0.37801865,-3.7243595,-0.024440823,-5.036794,-0.006532057,-6.776397,-0.0011783203,-inf
Take a moment to look at the situation ahead of you and don't be afraid to take your time.,-11.28253,-inf,-4.1914896e-05,-7.7190614,-0.00045045334,-9.794923,-6.563642e-05,-5.3161316,-0.0049514775,-inf
Combining light red + dark red and pushing the dark red into the light red also results in a yellow.,-0.019369597,-inf,-3.978188,-0.060235344,-2.8400452,-0.0009593431,-6.9534073,-5.941055,-0.0028473176,-inf
Just plan ahead before you click start and it's extremely easy.,-inf,-2.0182865,-0.14400925,-0.00021295747,-9.2069025,-9.276694,-0.00011117222,-4.533813,-0.011237857,-inf
If you eat all the proper squares you win.,-0.14818461,-2.415345,-3.0342147,-0.0066251317,-5.023778,-1.1906973,-0.3624579,-0.0001004439,-inf,-inf
Green is bad.,-0.4468158,-1.0458529,-4.78488,-0.019493412,-4.0471005,-3.5525026,-0.029114673,-inf,-0.16511953,-1.883469
White is your shield and yellow is the goal.,-1.2519119,-7.6884923,-0.33777496,-0.05146245,-2.9928954,-0.0050305906,-5.2955313,-0.0013539258,-7.155994,-inf
Beware of the random moving squares.,-6.5584645,-8.430551,-0.0018010809,-0.33618653,-1.2535697,-0.88282865,-0.53380865,-inf,-0.041423712,-3.2055645
Grab the dark orange square and bring it to the green square.,-0.002641891,-inf,-inf,-6.2670655,-0.0019137615,-6.037943,-0.0024033624,-0.17160542,-1.8473448,-inf
Don't touch the light blue squares or you die.,-2.3676734e-05,-11.695531,-11.969914,-5.4014516,-0.004526604,-0.00012999907,-8.958712,-inf,-12.806199,-4.9617593e-06
That's all I know.,-inf,-0.00020604367,-inf,-9.610702e-06,-inf,-inf,-0.00014716439,-inf,-0.0002292847,-inf
Good luck comrade.,-inf,-0.09197844,-2.4377522,-3.750436e-05,-inf,-inf,-1.0683535e-05,-12.10171,-4.5133394e-05,-inf
Push the green square on top of the red square to get rid of them.,-1.3067608e-05,-inf,-11.387596,-inf,-0.0017184966,-0.03418005,-3.3933358,-5.4571075,-0.0044308286,-inf
